"fuente","team_name","pitcher","player_id","ip","gs","gp","w","l","era","whip","fip","siera","k9","bb9","hr9","sow","k_pct","bb_pct","k_bb_diff","gb_pct","fb_pct","hr_fb_pct","pitches_per_ip","strike_pct","lob_pct","era_fip_diff","era_fip_label","reg_risk_score","reg_risk_label","stress_index","stress_label"
"2026","Acereros del Norte","Pedro Reyes",693804,19,0,12,0,1,4.26,1.32,4.09736842105263,3.97,7.58,3.79,0.95,2,19,9.5,9.5,41.5,58.5,8.3,16.32,0.62,60,0.16,"✓ ERA y FIP alineados",44.4,"✓ Estable",37,"🟢 Bajo"
"2026","Acereros del Norte","Christian Cosby",681797,18,0,20,0,2,8,1.94,4.87222222222222,4.8,7,5.5,1,1.27,16.3,12.8,3.5,58.3,41.7,13.3,18.39,0.64,NA,3.13,"📈 Unlucky — va a mejorar",83.3,"⚠️ ERA alto — candidato a mejorar",48,"🟢 Bajo"
"2026","Acereros del Norte","Jorge Rodriguez",681659,17,0,11,1,0,6.88,1.76,3.20882352941176,3.85,7.94,3.18,0.53,2.5,18.3,7.3,11,47.2,52.8,5.3,19.59,0.6,50,3.67,"📈 Unlucky — va a mejorar",71.7,"↗ Ligeramente sobre promedio",27,"🟢 Bajo"
"2026","Acereros del Norte","Angel Felipe",665734,14,0,16,1,1,1.29,1.21,3.22142857142857,4.09,8.36,5.79,0,1.44,22,15.3,6.7,73.1,26.9,0,15.57,0.55,100,-1.93,"📉 Lucky — riesgo regresión",13.4,"⚠️ ERA bajo — riesgo regresión",34.7,"🟢 Bajo"
"2026","Acereros del Norte","Oscar Soria",832573,9.2,0,10,1,0,8.38,1.66,2.71521739130435,3.46,10.24,5.59,0,1.83,24.4,13.3,11.1,41.2,58.8,0,16.24,0.61,85.7,5.66,"📈 Unlucky — va a mejorar",87.3,"⚠️ ERA alto — candidato a mejorar",33.5,"🟢 Bajo"
"2026","Acereros del Norte","Deivy Cruz",698942,8,0,10,1,0,7.88,2.13,5.9,3.11,12.38,6.75,2.25,1.83,27.5,15,12.5,50,50,33.3,22,0.56,33.3,1.98,"📈 Unlucky — va a mejorar",82.1,"⚠️ ERA alto — candidato a mejorar",74.2,"🔴 Alto — bullpen expuesto"
"2025 (sin datos 2026)","Acereros del Norte","Jameson McGrane",682494,8,0,11,1,1,13.5,2.88,5.525,5.37,6.75,6.75,1.13,1,13.3,13.3,0,43.8,56.2,11.1,22.75,0.59,100,7.97,"📈 Unlucky — va a mejorar",100,"⚠️ ERA alto — candidato a mejorar",57.5,"🟡 Moderado"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Travis Lakins",664042,95.1,18,18,9,3,4.72,1.4,3.82297581493165,3.79,7.08,2.64,0.94,2.68,18.3,6.8,11.5,48.7,51.3,10,16.46,0.64,NA,0.9,"📈 Unlucky — va a mejorar",49.2,"✓ Estable",31.5,"🟢 Bajo"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Grant Gavin",667050,70,14,14,4,3,4.11,1.27,4.42142857142857,3.51,8.23,3.73,1.29,2.21,22,10,12,47.8,52.2,14.1,16.41,0.61,NA,-0.31,"↘ Ligeramente lucky",42.8,"✓ Estable",45.4,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Ricardo Sánchez",645307,60,12,12,3,4,6.3,1.85,3.8,4.07,7.8,3.9,0.75,2,18.1,9,9.1,59.5,40.5,10.2,17.42,0.66,NA,2.5,"📈 Unlucky — va a mejorar",65.6,"↗ Ligeramente sobre promedio",38.3,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Jaime Barria",642545,52,12,12,3,5,5.88,1.71,4.4,4.5,5.37,2.08,1.21,2.58,13,5,8,50.9,49.1,12.3,16.19,0.66,NA,1.48,"📈 Unlucky — va a mejorar",61.2,"↗ Ligeramente sobre promedio",39.1,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Touki Toussaint",657053,45,11,11,4,3,7,1.78,4.72777777777778,4.3,7.6,4.6,1.2,1.65,18,10.9,7.1,47.8,52.2,12.8,18.44,0.62,NA,2.27,"📈 Unlucky — va a mejorar",72.9,"↗ Ligeramente sobre promedio",55.8,"🟡 Moderado"
"2026","Algodoneros Union Laguna","Aldo Montes",594105,34.1,8,11,1,3,8.65,1.86,4.88020527859238,4.93,6.55,4.98,1.05,1.32,14.3,10.9,3.4,52.1,47.9,11.8,19.17,0.59,NA,3.77,"📈 Unlucky — va a mejorar",90.1,"⚠️ ERA alto — candidato a mejorar",54.6,"🟡 Moderado"
"2026","Algodoneros Union Laguna","Lupe Chavez",660826,33.1,5,19,2,4,5.4,1.32,3.57296072507553,3.02,8.37,2.16,1.08,3.88,22.1,5.7,16.4,47.5,52.5,12.5,15.66,0.65,83.3,1.83,"📈 Unlucky — va a mejorar",56.3,"✓ Estable",29.2,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Dario Agrazal",642607,18.1,5,5,0,2,9.33,2.29,4.19972375690608,5.44,4.42,3.93,0.49,1.13,10.1,9,1.1,62.2,37.8,7.1,18.71,0.61,NA,5.13,"📈 Unlucky — va a mejorar",97.2,"⚠️ ERA alto — candidato a mejorar",44.6,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Erasmo Ramírez",541640,12,3,3,0,1,8.25,1.58,5.4,3.76,6.75,1.5,2.25,4.5,16.4,3.6,12.8,50,50,23.1,17.08,0.66,NA,2.85,"📈 Unlucky — va a mejorar",85.9,"⚠️ ERA alto — candidato a mejorar",53.7,"🟡 Moderado"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Nick Bennett",668711,29.1,1,27,2,1,7.67,1.84,6.20841924398625,3.98,8.28,3.99,2.45,2.08,18.6,9,9.6,41.9,58.1,22.2,19.3,0.63,55,1.46,"📈 Unlucky — va a mejorar",79.9,"⚠️ ERA alto — candidato a mejorar",60.7,"🟡 Moderado"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Yoan López",661255,46,0,45,2,3,4.89,1.57,4.19347826086956,3.84,8.41,4.5,0.98,1.87,20.8,11.1,9.7,65.9,34.1,16.7,17.61,0.62,16.7,0.7,"↗ Ligeramente unlucky",50.9,"✓ Estable",41.7,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Jacob Barnes",606930,28.1,0,25,0,1,1.59,1.16,3.1855871886121,3.46,7.31,2.22,0.64,3.29,19.7,6,13.7,55,45,7.4,16.52,0.62,61.5,-1.6,"📉 Lucky — riesgo regresión",16.6,"⚠️ ERA bajo — riesgo regresión",22.9,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Matt Foster",641582,28,0,29,2,3,3.21,1.43,1.29285714285714,2.22,9.32,0.64,0,14.5,24.2,1.7,22.5,37.3,62.7,0,16.64,0.71,25,1.92,"📈 Unlucky — va a mejorar",33.4,"↘ Ligeramente bajo promedio",3.8,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Thomas McIlraith",641852,27.2,0,26,2,0,1.95,1.12,4.4,3.2,8.78,3.9,1.3,2.25,24.3,10.8,13.5,40.4,59.6,12.9,16.37,0.64,100,-2.45,"📉 Lucky — riesgo regresión",20.3,"⚠️ ERA bajo — riesgo regresión",42.9,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Omar Araujo",807586,27,0,22,0,2,6.67,1.89,4.59444444444444,4.18,6.67,3,1.33,2.22,16.4,7.4,9,62.7,37.3,21.1,16.41,0.61,55.6,2.08,"📈 Unlucky — va a mejorar",69.5,"↗ Ligeramente sobre promedio",38,"🟢 Bajo"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Matt Tenuta",621343,25,0,26,1,1,5.76,1.84,4.71,4.92,5.4,3.6,1.08,1.5,12.8,8.5,4.3,63,37,15,16.96,0.61,59.3,1.05,"📈 Unlucky — va a mejorar",60,"↗ Ligeramente sobre promedio",37.8,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Miguel Vazquez",703722,24.1,0,24,2,1,4.81,1.56,4.22883817427386,4.51,6.66,4.44,0.74,1.5,17.1,11.4,5.7,52.1,47.9,8.7,17.71,0.63,62.5,0.58,"↗ Ligeramente unlucky",50.1,"✓ Estable",37.7,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Hector Perez",660431,21.1,0,21,1,2,2.53,1.36,4.61919431279621,3.63,9.28,5.06,1.27,1.83,22.9,12.5,10.4,60.5,39.5,17.6,16.78,0.6,66.7,-2.09,"📉 Lucky — riesgo regresión",26.4,"↘ Ligeramente bajo promedio",49.4,"🟢 Bajo"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Danis Correa",672550,20,0,22,1,3,7.2,2,4.8,4.6,8.55,6.75,0.9,1.27,18.8,14.9,3.9,71.8,28.2,18.2,18.7,0.56,60,2.4,"📈 Unlucky — va a mejorar",75,"⚠️ ERA alto — candidato a mejorar",54,"🟡 Moderado"
"2026","Algodoneros Union Laguna","José Torres",600526,19,0,19,2,1,7.11,1.58,4.36052631578947,3.5,8.05,2.84,1.42,2.83,20.2,7.1,13.1,62.2,37.8,21.4,17.16,0.64,71.4,2.75,"📈 Unlucky — va a mejorar",74.1,"↗ Ligeramente sobre promedio",38.3,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Austin Pope",687166,15.1,0,16,0,1,4.7,1.57,5.40165562913907,3.97,7.63,4.11,1.76,1.86,19.7,10.6,9.1,51.7,48.3,21.4,15.78,0.62,61.5,-0.7,"↘ Ligeramente lucky",49,"✓ Estable",51.1,"🟡 Moderado"
"2026","Algodoneros Union Laguna","Nick Snyder",676766,14.2,0,15,1,1,6.14,1.43,5.68521126760563,4.16,7.36,4.3,1.84,1.71,18.8,10.9,7.9,32.3,67.7,14.3,20.05,0.62,42.9,0.45,"↗ Ligeramente unlucky",64,"↗ Ligeramente sobre promedio",53.4,"🟡 Moderado"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Nestor Anguamea",691959,13.2,0,14,0,0,15.15,2.78,8.15,5.49,7.24,7.9,2.63,0.92,13.6,14.8,-1.2,41.4,58.6,23.5,23.34,0.54,33.3,7,"📈 Unlucky — va a mejorar",100,"⚠️ ERA alto — candidato a mejorar",86.8,"🔴 Alto — bullpen expuesto"
"2026","Algodoneros Union Laguna","Fernando Abad",472551,11.2,0,13,1,1,5.4,1.89,2.88214285714286,4.98,4.63,2.31,0,2,10.3,5.2,5.1,35.7,64.3,0,17.06,0.6,33.3,2.52,"📈 Unlucky — va a mejorar",56.3,"✓ Estable",13.9,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Joel Rangel",827757,10.2,0,8,0,0,2.53,1.59,5.60098039215686,4.4,6.75,4.22,1.69,1.6,17.4,10.9,6.5,42.9,57.1,16.7,15,0.65,62.5,-3.07,"📉 Lucky — riesgo regresión",26.4,"↘ Ligeramente bajo promedio",50.7,"🟡 Moderado"
"2026","Algodoneros Union Laguna","Daniel Federman",679946,8.2,0,9,0,1,10.38,2.54,1.44268292682927,3.08,10.38,2.08,0,5,20.8,4.2,16.6,43.8,56.2,0,24.12,0.67,42.9,8.94,"📈 Unlucky — va a mejorar",100,"⚠️ ERA alto — candidato a mejorar",12.5,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Cristhofer Lozoya",814277,5.1,0,4,0,0,10.13,2.06,10.993137254902,7.4,3.38,10.13,3.38,0.33,7.4,22.2,-14.8,28.6,71.4,20,20.63,0.56,50,-0.86,"📉 Lucky — riesgo regresión",100,"⚠️ ERA alto — candidato a mejorar",100,"🔴 Alto — bullpen expuesto"
"2026","Bravos de Leon","Felipe Gonzalez",542413,55.2,12,12,2,4,6.14,1.46,4.61739130434783,4.2,6.47,3.07,1.29,2.11,16.6,7.9,8.7,51.7,48.3,14,16.87,0.63,NA,1.52,"📈 Unlucky — va a mejorar",64,"↗ Ligeramente sobre promedio",44.3,"🟢 Bajo"
"2026","Bravos de Leon","Jeff Lindgren",689167,50.2,11,11,5,4,6.04,1.62,4.58426294820717,3.83,7.64,3.2,1.42,2.39,18.8,7.9,10.9,49.5,50.5,15.4,17.29,0.62,NA,1.46,"📈 Unlucky — va a mejorar",62.9,"↗ Ligeramente sobre promedio",47.3,"🟢 Bajo"
"2026","Bravos de Leon","Thaddeus Ward",663658,50.1,11,12,5,3,6.97,1.77,4.92644710578842,3.9,8.58,4.83,1.43,1.78,20.8,11.7,9.1,64.4,35.6,25,18.48,0.59,NA,2.04,"📈 Unlucky — va a mejorar",72.6,"↗ Ligeramente sobre promedio",57.3,"🟡 Moderado"
"2025 (sin datos 2026)","Bravos de Leon","Aaron Shortridge",663336,49,11,13,2,3,6.61,1.78,6.70102040816326,5.03,6.06,5.14,2.2,1.18,14.7,12.4,2.3,54.4,45.6,25.5,16.76,0.59,100,-0.09,"✓ ERA y FIP alineados",68.9,"↗ Ligeramente sobre promedio",71.4,"🔴 Alto — bullpen expuesto"
"2026","Bravos de Leon","Zac Lowther",675912,40.1,10,10,4,2,3.79,1.64,3.49912718204489,4.19,7.36,4.02,0.45,1.83,17.9,9.8,8.1,42.4,57.6,4.1,17.8,0.63,NA,0.29,"↗ Ligeramente unlucky",39.5,"↘ Ligeramente bajo promedio",41.7,"🟢 Bajo"
"2025 (sin datos 2026)","Bravos de Leon","Adam Wolf",663684,50.1,8,22,3,2,5.9,1.79,5.7248502994012,5.08,7.33,7.15,1.25,1.03,17.3,16.9,0.4,53.5,46.5,15.2,18.3,0.57,47.1,0.18,"✓ ERA y FIP alineados",61.5,"↗ Ligeramente sobre promedio",61.7,"🟡 Moderado"
"2025 (sin datos 2026)","Bravos de Leon","Sammy Tavarez",679013,44,8,16,2,1,6.55,1.91,5.74090909090909,5.21,5.93,5.52,1.43,1.07,14.1,13.1,1,52.7,47.3,16.3,18.25,0.62,25,0.81,"📈 Unlucky — va a mejorar",68.2,"↗ Ligeramente sobre promedio",54.6,"🟡 Moderado"
"2025 (sin datos 2026)","Bravos de Leon","Alberto Guerrero",660674,18,6,6,1,2,10,2.11,6.42777777777778,6.55,4.5,8.5,1,0.53,9.6,18.1,-8.5,54.8,45.2,10.5,19.94,0.58,NA,3.57,"📈 Unlucky — va a mejorar",100,"⚠️ ERA alto — candidato a mejorar",84.2,"🔴 Alto — bullpen expuesto"
"2026","Bravos de Leon","Faustino Carrera",666627,18.1,5,5,1,2,4.42,1.09,4.03397790055249,2.99,7.85,1.47,1.47,5.33,21.1,3.9,17.2,53.8,46.2,16.7,16.25,0.65,NA,0.39,"↗ Ligeramente unlucky",46,"✓ Estable",44.5,"🟢 Bajo"
"2025 (sin datos 2026)","Bravos de Leon","Chris Vallimont",681808,14.2,5,5,0,2,10.43,2.45,5.68521126760563,5.39,6.14,6.14,1.23,1,13,13,0,48.4,51.6,12.5,18.27,0.63,NA,4.74,"📈 Unlucky — va a mejorar",100,"⚠️ ERA alto — candidato a mejorar",74.6,"🔴 Alto — bullpen expuesto"
"2026","Bravos de Leon","Jonah Dipoto",665167,29.1,4,18,0,0,7.67,2.22,7.27371134020619,6.05,5.52,7.98,1.84,0.69,12.3,17.8,-5.5,55,45,22.2,18.99,0.57,66.7,0.4,"↗ Ligeramente unlucky",79.9,"⚠️ ERA alto — candidato a mejorar",75.5,"🔴 Alto — bullpen expuesto"
